iter	Passed	Remaining
0	0	85
1	1	79
2	2	74
3	2	66
4	3	64
5	4	64
6	4	64
7	5	64
8	6	63
9	7	63
10	7	64
11	8	64
12	9	64
13	10	64
14	11	63
15	12	63
16	12	62
17	13	62
18	14	61
19	15	60
20	16	60
21	16	59
22	17	59
23	18	58
24	19	57
25	19	56
26	20	55
27	21	55
28	22	55
29	23	54
30	24	53
31	24	52
32	25	52
33	26	51
34	27	50
35	27	49
36	28	49
37	29	48
38	30	47
39	31	47
40	32	46
41	32	45
42	33	44
43	34	43
44	35	43
45	36	42
46	37	42
47	38	41
48	39	40
49	40	40
50	41	39
51	42	38
52	43	38
53	43	37
54	44	36
55	45	35
56	45	34
57	46	33
58	48	33
59	49	32
60	49	31
61	51	31
62	51	30
63	52	29
64	53	28
65	54	27
66	55	27
67	56	26
68	57	25
69	57	24
70	58	24
71	59	23
72	60	22
73	61	21
74	62	20
75	63	20
76	64	19
77	65	18
78	66	17
79	67	16
80	68	16
81	69	15
82	70	14
83	70	13
84	71	12
85	72	11
86	73	10
87	74	10
88	74	9
89	76	8
90	76	7
91	77	6
92	78	5
93	79	5
94	80	4
95	81	3
96	82	2
97	83	1
98	84	0
99	85	0
