iter	Passed	Remaining
0	110	110848
1	112	56199
2	113	37612
3	113	28317
4	114	22725
5	114	18989
6	115	16325
7	115	14349
8	116	12802
9	116	11558
10	117	10535
11	117	9695
12	118	8988
13	118	8375
14	119	7842
15	120	7389
16	121	7001
17	121	6639
18	122	6326
19	123	6043
20	124	5798
21	125	5571
22	126	5358
23	127	5193
24	128	5026
25	129	4863
26	130	4712
27	131	4573
28	132	4439
29	133	4324
30	134	4215
31	135	4113
32	137	4020
33	138	3923
34	138	3828
35	139	3746
36	141	3670
37	141	3594
38	142	3523
39	143	3448
40	144	3384
41	145	3321
42	146	3259
43	147	3199
44	148	3141
45	148	3087
46	149	3033
47	150	2980
48	151	2931
49	151	2883
50	152	2834
51	153	2790
52	153	2749
53	154	2709
54	155	2670
55	156	2632
56	156	2593
57	157	2556
58	158	2520
59	158	2487
60	159	2454
61	160	2422
62	160	2392
63	161	2362
64	162	2332
65	162	2304
66	163	2275
67	164	2247
68	164	2221
69	165	2194
70	165	2169
71	166	2144
72	167	2120
73	167	2098
74	168	2075
75	168	2052
76	169	2030
77	169	2008
78	170	1988
79	171	1968
80	171	1948
81	172	1930
82	172	1908
83	173	1890
84	173	1871
85	174	1853
86	174	1835
87	175	1818
88	176	1802
89	176	1786
90	177	1770
91	177	1755
92	178	1739
93	178	1725
94	179	1710
95	180	1696
96	180	1681
97	181	1667
98	181	1653
99	182	1640
100	182	1628
101	183	1615
102	184	1602
103	184	1590
104	185	1578
105	185	1566
106	186	1555
107	186	1543
108	187	1533
109	188	1522
110	188	1511
111	189	1500
112	189	1490
113	190	1479
114	190	1469
115	191	1459
116	191	1448
117	192	1438
118	193	1429
119	193	1420
120	194	1411
121	194	1402
122	195	1393
123	195	1384
124	196	1375
125	197	1366
126	197	1357
127	198	1349
128	198	1341
129	199	1333
130	199	1325
131	200	1317
132	200	1310
133	201	1302
134	202	1294
135	202	1287
136	203	1279
137	203	1272
138	204	1265
139	204	1257
140	205	1250
141	205	1242
142	206	1234
143	206	1227
144	207	1221
145	207	1214
146	208	1207
147	208	1201
148	209	1195
149	209	1189
150	210	1183
151	211	1177
152	211	1171
153	212	1165
154	212	1159
155	213	1154
156	213	1148
157	214	1142
158	214	1137
159	215	1131
160	215	1125
161	216	1120
162	217	1114
163	217	1109
164	218	1103
165	218	1098
166	219	1093
167	219	1088
168	220	1082
169	220	1077
170	221	1072
171	221	1068
172	222	1063
173	222	1058
174	223	1053
175	223	1048
176	224	1043
177	224	1039
178	225	1034
179	226	1031
180	227	1027
181	227	1023
182	228	1018
183	228	1014
184	229	1010
185	229	1006
186	230	1002
187	230	997
188	231	993
189	232	990
190	232	986
191	233	982
192	233	978
193	234	974
194	235	970
195	235	966
196	236	962
197	236	958
198	237	955
199	237	951
200	238	948
201	239	944
202	239	940
203	240	937
204	240	933
205	241	929
206	241	926
207	242	923
208	243	919
209	243	916
210	244	912
211	244	909
212	245	906
213	245	902
214	246	899
215	246	896
216	247	892
217	247	889
218	248	886
219	249	883
220	249	879
221	250	876
222	250	873
223	251	870
224	251	867
225	252	864
226	252	860
227	253	857
228	253	855
229	254	852
230	255	849
231	255	846
232	256	843
233	256	840
234	257	837
235	257	834
236	258	831
237	258	828
238	259	825
239	259	823
240	260	820
241	261	817
242	261	814
243	262	812
244	262	809
245	263	806
246	263	803
247	264	801
248	264	799
249	265	796
250	266	793
251	266	791
252	267	788
253	267	786
254	268	783
255	268	780
256	269	778
257	269	775
258	270	773
259	271	771
260	271	768
261	272	766
262	272	764
263	273	761
264	273	759
265	274	756
266	274	754
267	275	752
268	275	749
269	276	747
270	276	745
271	277	742
272	277	740
273	278	737
274	279	735
275	279	733
276	280	731
277	280	728
278	281	726
279	281	724
280	282	722
281	282	720
282	283	718
283	284	716
284	284	713
285	285	711
286	285	709
287	286	707
288	286	704
289	286	702
290	287	700
291	288	698
292	288	696
293	289	694
294	289	692
295	290	690
296	290	688
297	291	686
298	292	684
299	292	682
300	293	681
301	293	679
302	294	677
303	295	675
304	295	673
305	296	671
306	296	669
307	297	667
308	297	665
309	298	663
310	298	662
311	299	660
312	299	658
313	300	656
314	301	654
315	301	652
316	302	651
317	302	649
318	303	647
319	303	645
320	304	644
321	305	642
322	305	640
323	306	638
324	306	637
325	307	635
326	307	633
327	308	631
328	309	630
329	309	628
330	310	627
331	310	625
332	311	623
333	312	622
334	312	620
335	313	618
336	313	616
337	314	615
338	314	613
339	315	612
340	315	610
341	316	608
342	317	607
343	317	605
344	318	604
345	318	602
346	319	601
347	320	599
348	320	597
349	321	596
350	321	594
351	322	592
352	322	591
353	323	589
354	323	588
355	324	586
356	324	584
357	325	583
358	325	581
359	326	580
360	326	578
361	327	577
362	328	575
363	328	574
364	329	572
365	329	570
366	330	569
367	330	568
368	331	566
369	331	565
370	332	563
371	333	562
372	333	560
373	334	559
374	334	557
375	335	556
376	335	554
377	336	553
378	336	551
379	337	550
380	337	549
381	338	547
382	338	546
383	339	544
384	340	543
385	340	541
386	341	540
387	341	539
